trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,-1,-29.08067695564469,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,-15,-26.29442264996817,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,-4,-11.279012875722902,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,-1,-24.449704812032564,"{0: 21, 1: 2, 2: 1, 3: 2, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,-5,-31.800703016169606,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,-16,10.92904063728863,"{0: 38, 1: 0, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,-4,-0.9610927506339864,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,-45,-114.25733322035853,"{0: 58, 1: 3, 2: 5, 3: 1, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,12,11.222213888572547,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,10,-41.47525874220226,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,-3,-37.30564464044532,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",25,2,-36.24713387850731,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,9,3.403480285769903,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,3,-6.475250505247639,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,-42.760846460672916,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,13,20.15302555760737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,8,-28.30090873674381,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,-31,-53.42405120125183,"{0: 41, 1: 4, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,8,-16.278549728599955,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,-12,-73.91137181981979,"{0: 24, 1: 3, 2: 2, 3: 2, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,5,-12.33921680360979,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,6,-2.624909628054498,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,14,10.630803788457348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,9,-49.64468418979865,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,0,7.5419333367140275,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,12,5.653925604641081,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,18,5.01671827057515,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,12,-30.324411459598636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",30,8,-64.54231582008485,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 1}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,-3,-26.109747168609008,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",30,17,13.119038653002248,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",35,5,2.833728335982955,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",35,16,-35.74654976103679,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,7,-26.43738498931697,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,8,17.500364875303447,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,13,15.955258290823139,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,-9,-93.58366800916822,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,11,-29.317267349129846,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",25,9,7.527207926089186,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,18,-8.33303326265961,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",30,9,-59.07155689056776,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,2,-35.044432639608786,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,8,-5.855309061975134,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,-50,-46.704662845095875,"{0: 57, 1: 4, 2: 8, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",30,16,8.195114394518983,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,13,6.98828355309682,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,7,-27.365438566644258,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",30,0,-15.472830328514203,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,9,-33.54864070126168,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,-12,6.246218277216795,"{0: 39, 1: 1, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",25,-13,20.79097388359631,"{0: 33, 1: 3, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,7,-0.8847376799255544,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,-36.06183678018297,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",30,-16,-26.772366897081426,"{0: 42, 1: 1, 2: 1, 3: 0, 4: 2}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,15,7.9190447782907665,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,5,2.515533717489046,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",30,14,16.618762939014896,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,1,-2.5324201217302673,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,18,-28.58083831391439,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",30,6,14.371509835259207,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,11,14.235590718303108,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,-13,-25.102215437200755,"{0: 38, 1: 1, 2: 2, 3: 1, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",25,-1,6.771741891218532,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,15,7.983369774432491,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,5,29.97895448804198,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,-2,-60.6550154483999,"{0: 22, 1: 1, 2: 1, 3: 2, 4: 1}",0
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,-25,30.41309481309851,"{0: 47, 1: 1, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",25,-12,-73.68645638648863,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 2}",0
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,12,-43.13689203208211,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,-6,-28.59742883823298,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,5,12.269156352964028,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,10,17.987466547024596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",35,13,25.411610635003274,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,13,20.403505881922012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
